gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes,uwb_skewness,uwb_peak_time_fraction,uwb_trough_time_fraction,uwb_early_late_diff
clockwise,nav,10,63.40239043824701,33.92870181770604,17.0,181.0,1297926.0,133.0,137,1.8059840485639695,1.0,0.748,24.100761904761896
clockwise,nav,11,75.45019920318725,50.399840617042294,13.0,232.0,2066452.0,45.0,129,1.2092046895126616,0.876,0.652,58.96946031746032
clockwise,nav,12,52.55776892430279,7.108132470173603,7.0,70.0,706024.0,16.0,144,-2.9084377339022307,1.0,0.968,-2.7773968253968206
clockwise,nav,13,48.29482071713147,17.13157231510809,8.0,123.0,659096.0,80.0,127,2.7200118004855276,0.984,0.884,13.734920634920634
clockwise,nav,14,77.28286852589642,52.27070650283411,17.0,229.0,2184922.0,-1.0,131,1.3330584810694457,0.808,0.524,59.162031746031744
clockwise,nav,15,72.53386454183267,55.56570577229883,12.0,237.0,2095526.0,2.0,127,1.2353004972383,0.672,0.436,64.188
clockwise,nav,16,67.86055776892431,51.873049121744344,22.0,220.0,1831263.0,-8.0,136,1.4821429467372218,0.676,0.488,60.201269841269834
clockwise,nav,17,81.79282868525897,47.42354833434602,18.0,218.0,2243704.0,1.0,115,1.0637427783688065,0.808,0.56,59.69980952380952
clockwise,nav,18,47.704,4.2502216412794285,20.0,61.0,573434.0,-19.0,114,-2.7857707574173394,0.9477911646586346,0.9959839357429718,0.8960000000000008
clockwise,nav,19,77.78,49.39185762856061,16.0,232.0,2122321.0,-21.0,127,1.2795649189768987,0.8112449799196787,0.5662650602409639,57.33599999999999
clockwise,nav,20,83.63346613545816,49.21593524874048,2.0,236.0,2363608.0,-12.0,112,1.0169916689046672,0.764,0.24,57.836507936507935
counterclockwise,akshat,1,93.2251655629139,44.85165721323922,20.0,167.0,1616093.0,18.0,76,0.3264216084835115,0.4533333333333333,0.7666666666666667,-29.302280701754384
counterclockwise,akshat,2,100.26666666666667,40.28972849526567,38.0,223.0,1751500.0,15.0,54,0.6606953087941057,0.2953020134228188,0.697986577181208,-34.16
counterclockwise,akshat,3,105.42666666666666,37.440681380314416,27.0,173.0,1877488.0,7.0,48,0.16149369457333965,0.33557046979865773,0.6308724832214765,-50.88000000000001
counterclockwise,akshat,4,99.8543046357616,46.814895086926256,14.0,179.0,1836540.0,1.0,58,0.0017390263475104807,0.46,0.86,-26.197894736842116
