gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes
clapping,akshat,4_aug1,30.98341880185692,16.13042585641246,1.6267426714344602,56.84113294039555,285692.42983698775,-38.07173352366017,39.84669478155132
clapping,akshat,5_aug1,33.673093065094044,15.39711547263986,7.916001723958422,64.80149599304677,172727.12710020132,-36.96689173520469,62.23454588336689
clapping,akshat,6_aug1,32.33113942949932,17.910791980288522,-0.008467296739154192,65.55949524990473,238560.9544164173,-0.05043130250343775,39.89294160415503
clapping,akshat,7_aug1,36.08941012881062,16.522076664285215,5.318890077739146,68.74924132096022,167215.2408813519,-6.8321624211465934,73.24318812261554
clapping,akshat,8_aug1,38.18519870823085,15.274312413328714,4.275418646167549,64.75155164575553,201368.45805429338,-13.64562643271563,61.53195637496633
clapping,akshat,9_aug1,31.36661335504797,15.089714253430227,6.438211190801953,59.906454676695446,221990.86768577533,-12.248094438054364,51.05885911137081
clapping,akshat,10_aug1,34.087105545649514,18.831856695356386,2.010985399397845,67.6839001927004,201002.92327496523,-32.86413484804193,63.70341774791604
clapping,akshat,11_aug1,37.23249803139413,16.20907724295233,5.983597858167653,68.50391311474955,246878.73657747745,-12.415936031843502,42.44039467544365
clapping,akshat,12_aug1,35.42504664388167,23.133424390817584,2.864635768089272,76.14471907038016,243783.9901732275,-43.56670233877434,49.56593212610282
clapping,akshat,13_aug1,35.125356748296035,18.02012808056428,1.4277785730192523,74.37792647287634,261179.2275564942,-40.21975938184028,48.864930332715765
clapping,akshat,14_aug1,34.581662638828064,15.838576674110987,4.960073839068523,57.52880745580461,191944.66643905602,-30.833342721590327,56.363954960757994
clapping,akshat,15_aug1,33.210270563299716,18.00507155763816,1.8507199150085802,66.56449169943586,263104.87992046605,-26.59306189896144,53.58889239404496
clapping,akshat,16_aug1,31.56338193275547,15.707504070059459,4.008199451139846,57.98970536513601,108822.98744066406,-39.28409257695605,54.25202796198521
clapping,akshat,17_aug1,27.5044811522272,15.133198087277826,1.9487699505049272,69.79679922057312,248635.01076962208,-15.307509636014053,64.86177281880545
clapping,akshat,18_aug1,33.61174538162464,16.497327303735016,-0.13200895040345856,65.1633681034199,168326.5148310703,-45.10787078103055,61.281099995273806
clapping,akshat,19_aug1,30.296990526958016,15.193064030186212,0.5153196530109074,63.81539470297562,154463.48854689408,-7.682468505413317,50.497327009650064
clapping,akshat,20_aug1,34.44104960940534,17.500767093155293,2.5066965850827234,75.19828855600304,247990.213829901,-59.289340652259085,39.19416012046562
clockwise,akshat,1_aug1,86.3391623600123,41.6227167089383,25.255680049783408,156.73877551791736,1490123.9841755284,104.90998932479752,62.36418602799874
clockwise,akshat,2_aug1,99.84389196412903,43.82005767036207,28.57023262142078,172.15413102259276,1823259.4958153109,16.377349371864817,71.40046376355849
clockwise,akshat,3_aug1,75.78977695433538,44.78853012222412,24.524531468412658,152.65284877505093,1210635.5424935268,11.029569172974544,65.03717063016421
clockwise,akshat,4_aug1,89.4152121097455,44.01604396119502,24.256678081364132,151.7947454247061,1354870.3631128562,-30.61955167414436,58.21382385315757
clockwise,akshat,5_aug1,75.10949156220538,42.38941457895018,11.271704057244003,145.27780122182207,1159078.3083034088,11.649259638989555,59.17727972811538
clockwise,akshat,6_aug1,67.51362708279449,36.836488684321274,20.548531361106736,121.3779103818503,972845.1612026871,10.821009822993641,62.872763154702554
clockwise,akshat,7_aug1,73.05362900543733,40.71729293906267,17.901301454497283,132.47198677697367,1139615.9200073949,-26.446183448908506,57.14441132453665
clockwise,akshat,8_aug1,74.36306426745783,40.83062169775355,10.525247954481443,140.83490492773825,1146677.8132718164,10.856824937630897,64.36749705875843
clockwise,akshat,9_aug1,79.81923728186102,40.38803337248718,23.697316454527787,151.1331489636923,1259853.5714040454,-10.459471935925915,51.126761249563195
clockwise,akshat,10_aug1,97.85572837738292,44.95101270894718,30.84695767535531,151.84790977925005,1673049.9934225949,-21.789534372082365,57.864609070048026
clockwise,akshat,11_aug1,99.11684342630356,31.840120595369427,1.7055314788930316,129.86438484520727,1682958.5886887312,-24.532987730723555,63.374816853855464
clockwise,akshat,12_aug1,75.48838191488969,31.175732695292837,35.94184142003406,128.74824975886025,965848.8199215404,-9.770399715252749,71.3621694504702
clockwise,akshat,13_aug1,82.27554695641962,43.88867370105807,14.504857769020257,154.3069036836065,1256380.9240754093,-22.096008731982437,64.70142602477831
clockwise,akshat,14_aug1,84.8150778924906,44.161515881244036,13.03305022163259,150.63425777162465,1434313.1314777895,-21.532831029384358,62.08393889931085
clockwise,akshat,15_aug1,41.08868317488588,31.20111555789007,8.040232158251447,149.5253571158462,395435.7084183538,-72.2779448348734,73.11299764227645
clockwise,akshat,16_aug1,105.10396185207021,40.49212764161096,25.648010136646285,180.69067293228832,1929237.1429286522,24.190195753971675,62.740974170791525
clockwise,akshat,17_aug1,91.48435122881462,39.964225814682074,16.33101995889479,144.21266543681747,1475759.5945317147,13.813688641843978,55.24826623694694
clockwise,akshat,18_aug1,59.78596826592928,44.20060637469358,12.580187255245514,148.33067182355296,835824.5598172497,-112.85477747775687,66.98839918336937
clockwise,akshat,19_aug1,100.89762177369298,48.802597118465485,16.95024505292713,167.680953692046,1794807.8370359777,48.07633051658096,62.516898026160014
clockwise,akshat,20_aug1,92.99984243098685,43.94123054990209,18.07190154512817,161.68209405760237,1590764.6979288268,15.573496356184448,67.82244671983284
counterclockwise,akshat,1_aug1,94.22911758327548,44.576265825084185,21.35179391854014,168.12987245484382,1587962.8569999204,21.267862503221178,74.75210140778704
counterclockwise,akshat,2_aug1,99.68205524404978,40.08016073331654,38.39208820224209,218.3028945055664,1725658.0836828416,14.852093190472154,53.66716815693725
counterclockwise,akshat,3_aug1,105.38071258002853,37.59321301630798,26.864465131187263,180.0203684321344,1818940.318224658,6.346987776919864,47.91047001915959
counterclockwise,akshat,4_aug1,98.62749212140488,45.942184271864264,14.297784201967781,178.71221884668435,1853336.7656372008,0.6706561446319668,58.29867115180537
counterclockwise,akshat,5_aug1,101.0554581444638,44.009658615436564,25.320900331951997,174.64884300099106,1841984.772326041,0.9517167591121982,60.69275985055633
counterclockwise,akshat,6_aug1,102.35197789737614,45.225681106753356,28.950199076326978,187.59758194156976,1910233.0696679745,29.555348116153482,67.6908848775024
counterclockwise,akshat,7_aug1,101.04495259172367,39.91754509341408,34.28621786213316,173.06021615899448,1811962.6286205258,27.213360922424943,71.60400165442029
counterclockwise,akshat,8_aug1,82.66941593620344,32.444960865860935,15.981911686820245,144.47268858325765,1287602.770756726,7.12607852251069,54.09986749338447
counterclockwise,akshat,9_aug1,92.64798630995166,39.87718597719871,24.48013124145685,149.18337860847723,1587505.937822708,-6.085088702744196,56.073468303516734
counterclockwise,akshat,10_aug1,94.10025654662182,44.86330694945932,19.326966572964057,220.6312775728974,1684081.4251992353,12.11527032587894,56.2902044731223
counterclockwise,akshat,11_aug1,90.11150390049268,44.29200415171253,19.77064362176889,169.6783056685122,1594639.4560799636,1.6620011144327878,53.87273454603577
counterclockwise,akshat,12_aug1,99.78133816548352,45.78601659914588,22.545164605649315,171.0949561029923,1704274.1699395801,9.205267896196633,63.37221922126995
